t,r,r_dot,theta,theta_dot
0.0,150000000000.0,0.0,0.0,1.9832769515795482e-07
21033.677892630876,149999998973.98386,-0.14631020243796442,0.004169100835890954,1.980938298918372e-07
42067.35578526175,149999991796.73016,-0.5847784051785518,0.008333285668163309,1.97860256615822e-07
63101.03367789263,149999972330.39636,-1.3147085548834458,0.012492560804511712,1.9762699109923136e-07
84134.7115705235,149999934451.81345,-2.3354014705605977,0.01664693288296744,1.9739404898286547e-07
105168.38946315438,149999872052.55057,-3.6461550107281804,0.02079640886919396,1.9716144577945285e-07
126202.06735578526,149999779038.97498,-5.246264238876748,0.024940996053797123,1.9692919687413056e-07
147235.74524841615,149999649332.30844,-7.135021585662906,0.02908070204967479,1.9669731752494493e-07
168269.423141047,149999476868.68414,-9.31171701484269,0.03321553478928585,1.9646582286338693e-07
189303.10103367787,149999255599.19077,-11.775638179468304,0.03734550252208071,1.9623472789495076e-07
210336.77892630876,149998979489.92807,-14.526070586272889,0.041470613811758934,1.9600404749970883e-07
231370.45681893965,149998642522.03918,-17.56229774791037,0.04559087753375058,1.9577379643293322e-07
252404.1347115705,149998238691.76505,-20.883601346352112,0.04970630287245381,1.9554398932571144e-07
273437.8126042014,149997762010.4639,-24.489261377503425,0.05381689931883257,1.953146406856142e-07
294471.4904968323,149997206504.6651,-28.37855631964153,0.05792267666753373,1.9508576489737976e-07
315505.16838946316,149996566216.0793,-32.55076326392794,0.062023645014706176,1.9485737622357747e-07
336538.846282094,149995835201.6414,-37.00515809043722,0.06611981475497608,1.9462948880541638e-07
357572.5241747249,149995007533.5309,-41.74101559359082,0.07021119657929813,1.94402116663373e-07
378606.20206735574,149994077299.18002,-46.75760963942377,0.07429780147228722,1.9417527369806912e-07
399639.87995998666,149993038601.3188,-52.054213321571154,0.07837964070946594,1.9394897369101275e-07
420673.5578526175,149991885557.96115,-57.63009907635872,0.08245672585533194,1.937232303053472e-07
441707.2357452484,149990612302.42966,-63.48453886060242,0.08652906876024441,1.9349805708684472e-07
462740.9136378793,149989212983.3796,-69.61680427375842,0.09059668155825226,1.9327346746457419e-07
483774.59153051017,149987681764.76996,-76.02616668239452,0.09465957666500109,1.9304947475181313e-07
504808.269423141,149986012825.89285,-82.71189740014103,0.09871776677451022,1.9282609214709878e-07
525841.947315772,149984200361.38202,-89.67326779166366,0.10277126485731644,1.9260333273487883e-07
546875.6252084028,149982238581.17313,-96.90954939723295,0.10682008415837278,1.9238120948651873e-07
567909.3031010337,149980121710.52548,-104.42001411322643,0.11086423819377267,1.921597352614448e-07
588942.9809936646,149977843990.028,-112.20393428924427,0.11490374074899094,1.9193892280779387e-07
609976.6588862954,149975399675.54797,-120.26058284376707,0.11893860587693558,1.9171878476345357e-07
631010.3367789263,149972783038.23434,-128.5892334377027,0.12296884789479105,1.9149933365729458e-07
652044.0146715571,149969988364.52756,-137.18916058665852,0.12699448138194083,1.9128058190993932e-07
673077.692564188,149967009956.11005,-146.0596397570802,0.13101552117833629,1.910625418346991e-07
694111.370456819,149963842129.87305,-155.19994751202574,0.1350319823819057,1.9084522563881413e-07
715145.0483494498,149960479217.9268,-164.60936167211895,0.13904388034553525,1.906286454246226e-07
736178.7262420807,149956915567.5758,-174.287161380091,0.14305123067592776,1.9041281319017418e-07
757212.4041347115,149953145541.24362,-184.23262721901895,0.14705404923161097,1.9019774083050104e-07
778246.0820273424,149949163516.46558,-194.4450413908093,0.15105235211958876,1.899834401390559e-07
799279.7599199733,149944963885.88208,-204.92368780419199,0.15504615569369054,1.89769922808436e-07
820313.4378126041,149940541057.17746,-215.66785216495708,0.15903547655302516,1.8955720043141118e-07
841347.115705235,149935889453.01526,-226.67682208875863,0.16302033154002996,1.8934528450215705e-07
862380.793597866,149931003511.0207,-237.94988729036106,0.1670007377368714,1.8913418641788648e-07
883414.4714904968,149925877683.7683,-249.48633962932064,0.17097671246459673,1.8892391747928562e-07
904448.1493831277,149920506438.69418,-261.28547321559734,0.17494827328134777,1.8871448889184692e-07
925481.8272757586,149914884258.0361,-273.3465845193342,0.17891543798041842,1.885059117671005e-07
946515.5051683894,149909005638.7989,-285.6689725548406,0.18287822458674352,1.8829819712434273e-07
967549.1830610203,149902865092.7416,-298.25193891240366,0.186836651356311,1.8809135589097416e-07
988582.8609536511,149896457146.27612,-311.0947878659247,0.19079073677434988,1.8788539890396783e-07
1009616.538846282,149889776340.3996,-324.1968264649208,0.1947404995537394,1.8768033691103147e-07
1030650.216738913,149882817230.63904,-337.5573647283124,0.19868595863130883,1.8747618057258177e-07
1051683.894631544,149875574387.03833,-351.17571567474675,0.2026271331672715,1.8727294046207625e-07
1072717.5725241746,149868042394.06665,-365.05119541679295,0.2065640425436246,1.870706270673576e-07
1093751.2504168055,149860215850.52374,-379.18312323256595,0.21049670636304213,1.8686925079181938e-07
1114784.9283094364,149852089369.46793,-393.5708217610794,0.21442514444514907,1.866688219565391e-07
1135818.6062020673,149843657578.18253,-408.213617068571,0.21834937682528305,1.8646935080104927e-07
1156852.2840946983,149834915118.138,-423.11083868639855,0.22226942375384548,1.8627084748389871e-07
1177885.9619873292,149825856644.8357,-438.26181972271536,0.22618530569456433,1.8607332208457106e-07
1198919.6398799599,149816476827.75616,-453.66589696245984,0.23009704332263395,1.8587678460469171e-07
1219953.3177725908,149806770350.26166,-469.32241103716797,0.23400465752154803,1.8568124497011297e-07
1240986.9956652217,149796731909.59122,-485.2307064317266,0.23790816938297737,1.854867130310039e-07
1262020.6735578526,149786356216.74338,-501.3901315793215,0.24180760020521688,1.852931985634225e-07
1283054.3514504835,149775637996.36453,-517.8000389128022,0.2457029714925464,1.851007112704779e-07
1304088.0293431142,149764571986.6456,-534.4597850429699,0.24959430495189489,1.8490926078456405e-07
1325121.7072357452,149753152939.2474,-551.3687308551874,0.2534816224910926,1.8471885666868053e-07
1346155.385128376,149741375619.297,-568.5262415125848,0.2573649462188177,1.8452950841648513e-07
1367189.063021007,149729234805.21677,-585.931686573189,0.26124429844278063,1.8434122545443664e-07
1388222.740913638,149716725288.64987,-603.5844400085462,0.26511970166964133,1.8415401714246483e-07
1409256.4188062686,149703841874.30826,-621.4838804076987,0.26899117860130123,1.839678927767547e-07
1430290.0966988995,149690579379.90237,-639.6293910512665,0.2728587521336089,1.8378286159085294e-07
1451323.7745915304,149676932636.14066,-658.020359911979,0.2767224453563511,1.8359893275567726e-07
1472357.4524841614,149662896486.55396,-676.6561797648104,0.2805822815516222,1.8341611538165748e-07
1493391.1303767923,149648465787.39816,-695.5362482039894,0.2844382841938691,1.8323441851956892e-07
1514424.808269423,149633635407.5087,-714.6599678176616,0.28829047694679644,1.8305385116302555e-07
1535458.486162054,149618400228.1785,-734.0267462980871,0.292138883661522,1.8287442225025167e-07
1556492.1640546848,149602755143.15805,-753.6359964416395,0.29598352837657665,1.8269614066408197e-07
1577525.8419473157,149586695058.57306,-773.4871361974714,0.2998244353172201,1.8251901523294626e-07
1598559.5198399466,149570214892.668,-793.5795887752242,0.3036616288942429,1.8234305473360003e-07
1619593.1977325776,149553309575.8138,-813.9127826636202,0.3074951337035679,1.8216826789124207e-07
1640626.8756252083,149535974050.23682,-834.4861518533723,0.31132497452268887,1.8199466338326783e-07
1661660.5535178392,149518203270.00314,-855.2991358481212,0.31515117631050515,1.818222498394685e-07
1682694.23141047,149499992201.01874,-876.3511796644551,0.3189737642073205,1.8165103584203157e-07
1703727.909303101,149481335820.79355,-897.6417339500462,0.3227927635334135,1.8148102992820174e-07
1724761.587195732,149462229118.3448,-919.1702549791621,0.32660819978956146,1.8131224059099964e-07
1745795.2650883626,149442667094.05527,-940.9362047923366,0.3304200986547771,1.8114467628135522e-07
1766828.9429809935,149422644759.4447,-962.9390513497943,0.3342284859841213,1.8097834541098113e-07
1787862.6208736245,149402157137.16956,-985.1782685314486,0.33803338780870196,1.808132563523727e-07
1808896.2987662554,149381199261.02316,-1007.6533361369029,0.34183483033567474,1.806494174388079e-07
1829929.9766588863,149359766175.6498,-1030.3637400139905,0.3456328399469484,1.8048683696745658e-07
1850963.6545515172,149337852936.4643,-1053.3089720362282,0.3494274432000196,1.8032552319988102e-07
1871997.332444148,149315454609.5224,-1076.488530225984,0.35321866682609376,1.8016548436391308e-07
1893031.0103367788,149292566271.21625,-1099.9019189330852,0.3570065377278694,1.8000672865725482e-07
1914064.6882294097,149269183008.2743,-1123.5486488348163,0.36079108297953777,1.7984926424747845e-07
1935098.3661220407,149245299917.76132,-1147.4282369359212,0.36457232982678334,1.7969309927202644e-07
1956132.0440146716,149220912106.95923,-1171.5402066198264,0.3683503056863675,1.7953824183948096e-07
1977165.7219073023,149196014692.91974,-1195.884087791072,0.37212503814554465,1.7938470003404123e-07
1998199.3997999332,149170602802.75858,-1220.459416743808,0.3758965549632053,1.792324819123945e-07
2019233.077692564,149144671573.0738,-1245.2657364833349,0.37966488406646853,1.7908159551036324e-07
2040266.755585195,149118216149.88373,-1270.302596756539,0.38343005355039295,1.789320488435895e-07
2061300.433477826,149091231688.62708,-1295.5695540518934,0.38719209167797636,1.7878384990753514e-07
2082334.1113704566,149063713354.16275,-1321.0661715994568,0.39095102688015604,1.7863700667748158e-07
2103367.789263088,149035656320.55646,-1346.7920194541048,0.39470688775540363,1.784915271107305e-07
2124401.4671557187,149007055770.6118,-1372.7466746151458,0.39845970307000483,1.78347419151114e-07
2145435.145048349,148977906896.32938,-1398.9297208496944,0.4022095017589137,1.7820469072431687e-07
2166468.82294098,148948204898.12207,-1425.340749073053,0.40595631292290435,1.7806334974637358e-07
2187502.500833611,148917944984.76068,-1451.9793573724496,0.4097001658284192,1.7792340412424015e-07
2208536.178726242,148887122373.374,-1478.8451510070379,0.41344108990756945,1.7778486175579416e-07
2229569.856618873,148855732289.44876,-1505.9377424078987,0.41717911475813463,1.7764773052983465e-07
2250603.5345115038,148823769966.82697,-1533.2567511791517,0.4209142701435606,1.7751201832611123e-07
2271637.2124041347,148791230646.89386,-1560.8018043832367,0.4246465859927977,1.7737773302343084e-07
2292670.8902967656,148758109579.1161,-1588.5725362377675,0.4283760924023755,1.7724488249379857e-07
2313704.5681893965,148724402020.78186,-1616.5685882888588,0.4321028196350074,1.7711347460542398e-07
2334738.2460820274,148690103236.26407,-1644.7896097224288,0.43582679811856345,1.7698351723032312e-07
2355771.9239746584,148655208497.0201,-1673.2352573642,0.43954805844607014,1.7685501824431873e-07
2376805.601867289,148619713081.59195,-1701.9051956796966,0.44326663137571054,1.767279855270401e-07
2397839.2797599197,148583612275.60617,-1730.7990967742492,0.4469825478308244,1.7660242696192314e-07
2418872.9576525507,148546901371.77393,-1759.9166403929898,0.45069583889990805,1.7647835043621032e-07
2439906.6355451816,148509575669.792,-1789.257513953353,0.45440653583676766,1.7635576384191844e-07
2460940.3134378125,148471630475.0202,-1818.8214129226917,0.45811467006344453,1.7623467508856005e-07
2481973.9913304434,148433061099.9337,-1848.6080402795471,0.4618202731688953,1.761150920887456e-07
2503007.6692230743,148393862863.10086,-1878.6171069651132,0.4655233769087843,1.7599702276866298e-07
2524041.3471157053,148354031088.7029,-1908.8483320567884,0.4692240132059866,1.7588047507283958e-07
2545075.025008336,148313561106.53372,-1939.3014427681758,0.47292221415058766,1.7576545696414245e-07
2566108.702900967,148272448251.9999,-1969.9761744490834,0.4766180119998834,1.756519764237782e-07
2587142.3807935975,148230687866.1209,-2000.872270585523,0.48031143917838026,1.75540041451293e-07
2608176.0586862285,148188275295.52884,-2031.9894827997127,0.48400252827779533,1.7542966006457267e-07
2629209.7365788594,148145205892.36838,-2063.3275708808674,0.4876913120573913,1.7532084030081244e-07
2650243.4144714903,148101475012.8155,-2094.886303181906,0.49137782344974273,1.7521359023064653e-07
2671277.092364121,148057078018.66183,-2126.6654560687416,0.4950620955562802,1.7510791794262406e-07
2692310.770256752,148012010276.27338,-2158.664814364683,0.4987441616489926,1.7500383155375395e-07
2713344.448149383,147966267156.041,-2190.8841715366016,0.5024240551720184,1.7490133921488342e-07
2734378.126042014,147919844032.3804,-2223.32332969493,0.5061018097416459,1.7480044911069793e-07
2755411.803934645,147872736283.73224,-2255.982099593666,0.5097774591463128,1.7470116945972112e-07
2776445.481827276,147824939292.5621,-2288.8603006303674,0.5134510373466067,1.7460350851431497e-07
2797479.1597199067,147776448445.36044,-2321.957760846156,0.5171225784752648,1.7450747456067958e-07
2818512.837612537,147727259132.55713,-2355.2743169500864,0.5207921168376197,1.744130759196804e-07
2839546.515505168,147677366747.0582,-2388.809814683731,0.5244596869198757,1.743203209608066e-07
2860580.193397799,147626766685.5519,-2422.56410839996,0.5281253233827917,1.7422921808938076e-07
2881613.87129043,147575454347.6572,-2456.5370614323865,0.5317890610644075,1.7413977575525034e-07
2902647.549183061,147523425135.40482,-2490.7285462608443,0.535450934982519,1.7405200245786857e-07
2923681.227075692,147470674453.23737,-2525.1384445113868,0.5391109803346784,1.7396590674629422e-07
2944714.9049683227,147417197708.00922,-2559.7666469562873,0.5427692324981948,1.7388149721919185e-07
2965748.5828609536,147362990308.98657,-2594.6130535140405,0.5464257270301331,1.7379878252483152e-07
2986782.2607535846,147308047667.84744,-2629.6775732493606,0.5500804996673149,1.7371777136108912e-07
3007815.9386462155,147252365197.75037,-2664.960124623588,0.553733586332641,1.7363847248451171e-07
3028849.616538846,147195938313.47397,-2700.460635362594,0.557385023135171,1.7356089470859035e-07
3049883.294431477,147138762431.5401,-2736.17904252411,0.5610348463679912,1.7348504690294467e-07
3070916.972324108,147080832969.29422,-2772.1152928094148,0.5646830925136909,1.734109380025242e-07
3091950.6502167387,147022145344.9053,-2808.2693425633406,0.5683297982443632,1.7333857700760838e-07
3112984.3281093696,146962694977.3659,-2844.641157774271,0.571975000421605,1.7326797298380647e-07
3134018.0060020005,146902477286.49207,-2881.2307140741423,0.5756187360965163,1.7319913506205768e-07
3155051.6838946315,146841487692.90323,-2918.0379967446875,0.5792610425098558,1.7313207243883484e-07
3176085.3617872624,146779721616.95035,-2955.0630010069044,0.5829019571007066,1.730667943867724e-07
3197119.0396798933,146717174479.3095,-2992.305731763969,0.5865415175026015,1.7300331024835434e-07
3218152.717572524,146653841700.47543,-3029.7662038683766,0.5901797615461514,1.729416294414811e-07
3239186.395465155,146589718700.16745,-3067.4444423285345,0.5938167272633579,1.7288176146555883e-07
3260220.0733577856,146524800897.3292,-3105.340482308763,0.597452452887614,1.7282371590149935e-07
3281253.7512504165,146459083710.12897,-3143.4543691292974,0.6010869768537043,1.7276750241172024e-07
3302287.4291430474,146392562555.9594,-3181.7861582662845,0.6047203377978042,1.7271313074014476e-07
3323321.1070356783,146325232851.16815,-3220.335915434051,0.6083525745599125,1.7266061071498067e-07
3344354.7849283093,146257090010.0928,-3259.103716806815,0.6119837261931973,1.7260995225831127e-07
3365388.46282094,146188129445.9444,-3298.0896487510217,0.6156138319558846,1.725611653769721e-07
3386422.140713571,146118346569.65564,-3337.2938082859955,0.619242931320595,1.7251426017493808e-07
3407455.818606202,146047736789.7505,-3376.716303129276,0.6228710639754704,1.72469246854696e-07
3428489.496498833,145976295512.344,-3416.35725169662,0.6264982698241738,1.7242613571724434e-07
3449523.174391464,145904018141.14243,-3456.2167831019983,0.6301245889858893,1.7238493716209336e-07
3470556.852284095,145830900077.41025,-3496.295037168706,0.6337500617956524,1.7234566168761964e-07
3491590.5301767252,145756936718.91034,-3536.5921647385267,0.6373747288153272,1.7230831990220981e-07
3512624.208069356,145682123460.48886,-3577.1083274004723,0.6409986308282264,1.7227292251753446e-07
3533657.885961987,145606455693.39835,-3617.843697836553,0.6446218088448812,1.7223948035644886e-07
3554691.563854618,145529928804.80045,-3658.7984600109053,0.6482443041078442,1.7220800435845933e-07
3575725.241747249,145452538177.76596,-3699.972809169789,0.6518661580916899,1.721785055797231e-07
3596758.91963988,145374279191.27493,-3741.3669518415886,0.6554874125030142,1.7215099519304834e-07
3617792.5975325108,145295147220.21643,-3782.9811058368127,0.6591081092804351,1.7212548448789426e-07
3638826.2754251417,145215137634.61774,-3824.8155004967844,0.6627282906033147,1.721019848788583e-07
3659859.9533177726,145134245799.54453,-3866.8703766200497,0.6663479988934748,1.720805079060977e-07
