year,tension_t,friction_f_real,nominal_rate,inflation
2020,5.62,6.40,12.02,5.62
2021,5.73,6.42,12.15,5.73
2022,9.10,3.57,12.67,9.10
2023,6.60,8.03,14.63,6.60
2024,4.50,10.57,15.07,4.50
