m_S_eV,alpha_max
3.696912707195028130e-04,1.957141191099635777e-34
4.008806328898464845e-04,2.118089444453854311e-34
4.347013158125021914e-04,2.307608100622558605e-34
4.713753134116723800e-04,2.532326653217417057e-34
5.111433483440165366e-04,2.800800732122716134e-34
5.542664520663106911e-04,3.124185129977196973e-34
6.010276782070381272e-04,3.517182144440765457e-34
6.517339604882420442e-04,3.999394737548017957e-34
7.067181273927491871e-04,4.597283152113041793e-34
7.663410868007454382e-04,5.347034249895865504e-34
8.309941949353395101e-04,6.298832712387513819e-34
9.011018251665018231e-04,7.523320739355558254e-34
9.771241535346502759e-04,9.121533825642711434e-34
1.059560179277615945e-03,1.124045992920852541e-33
1.148951000187308554e-03,1.409787486413389633e-33
1.245883364295008152e-03,1.802280006833091071e-33
1.350993521198026563e-03,2.160214833893869670e-33
1.464971398307286267e-03,2.223512463585842181e-33
1.588565129428052810e-03,2.294248006347838350e-33
1.722585965398785654e-03,2.373496534937331425e-33
1.867913599020782755e-03,2.462527508030605416e-33
2.025501939230666629e-03,2.562847713698087847e-33
2.196385372416547171e-03,2.676255429250212512e-33
2.381685551976158062e-03,2.804909179035221544e-33
2.582618760682674902e-03,2.951415630292140381e-33
2.800503894183630979e-03,3.118942771597173883e-33
3.036771118035457451e-03,3.311366759875709996e-33
3.292971255097151308e-03,3.533463981973014688e-33
3.570785964900462846e-03,3.791164374571181301e-33
3.872038781812553020e-03,4.091888512483291286e-33
4.198707084443909637e-03,4.445000369496700335e-33
4.552935074866947852e-03,4.862421454639955050e-33
4.937047852839003374e-03,5.359472530525227116e-33
5.353566677410724443e-03,5.956039959271914245e-33
5.805225516094895781e-03,6.678210700418679443e-33
6.294988990221887619e-03,7.560592518622305089e-33
6.826071834272385945e-03,8.649649542133752482e-33
7.401959996915644276e-03,1.000856384891347406e-32
8.026433522257174491e-03,1.172442525988270205e-32
8.703591361485166558e-03,1.391903007510769441e-32
9.437878277775381061e-03,1.676536903808882868e-32
1.023411402105452693e-02,2.051324569362131692e-32
1.109752496412072173e-02,2.552982858220566004e-32
1.203377840777590524e-02,3.236512757458478908e-32
1.304901978014401560e-02,4.185997116800765471e-32
1.414991297434575919e-02,5.532813454064847060e-32
1.534368408930013132e-02,7.487103265146744739e-32
1.663816886076127308e-02,1.039356628050569730e-31
1.804186409392071616e-02,1.483314880808710184e-31
1.956398343517064958e-02,2.181393547903089232e-31
2.121451784910627705e-02,3.314103376409880875e-31
2.300430119772916768e-02,5.215808527141791260e-31
2.494508135230316670e-02,8.528910909034501048e-31
2.704959730463137035e-02,1.453729887253702612e-30
2.933166278390042514e-02,2.591863866081294454e-30
3.180625692794119413e-02,4.852073281764946041e-30
3.448962260405760011e-02,9.576716881590827676e-30
3.739937302478794218e-02,2.001789067407891263e-29
4.055460735840827474e-02,4.452809353407360240e-29
4.397603609302721400e-02,1.059602771975153359e-28
4.768611697714474074e-02,2.712792746011020963e-28
5.170920242896755170e-02,7.518557700050394491e-28
5.607169938205457810e-02,2.270924965890179338e-27
6.080224261649427170e-02,7.529609534784447024e-27
6.593188271333541572e-02,2.762234152265003438e-26
7.149428986597576585e-02,1.130764344098815406e-25
7.752597488629464628e-02,5.213448766353113244e-25
8.406652885618316751e-02,2.734489622587734472e-24
9.115888299750818380e-02,1.649491013245346897e-23
9.884959046625586832e-02,1.157894645285206124e-22
1.071891319205128673e-01,9.580510855163203179e-22
1.162322468679851811e-01,9.473982843501071828e-21
1.260382929679727537e-01,1.136665822977475879e-19
1.366716356462007453e-01,1.681792240045188889e-18
1.482020705798857141e-01,3.123430469719442202e-17
1.607052818261638372e-01,7.422323886859128384e-16
1.742633386009650731e-01,2.304240347797495465e-14
1.889652339691207661e-01,9.558476012600980255e-13
2.049074689815846007e-01,5.429276157744384320e-11
2.221946860939523760e-01,4.336136287808799071e-09
2.409403560239526954e-01,5.011392783776206561e-07
2.612675225563326209e-01,8.646667657500989280e-05
