"id","speed","travel_time","status","data_as_of","link_id","link_points","encoded_poly_line","encoded_poly_line_lvls","owner","transcom_id","borough","link_name"
"223","24.85","106","0","2025-12-09T13:48:03.000","4616341","40.70908,-73.9959 40.70895,-73.996941 40.70882,-73.997611 40.70861,-73.99827 40.70841,-73.998731 40.7082204,-73.99911 40.70806,-73.99937","w~mwFjisbMXnEXdCh@bCf@zAd@jA^r@","BBBBBBB","NYC_DOT_LIC","4616341","Manhattan","FDR S Catherine Slip - BKN Bridge Manhattan Side"
"145","12.42","204","0","2025-12-09T13:48:03.000","4616342","40.7081105,-73.99944 40.7084705,-73.99884 40.70868,-73.998331 40.70886,-73.997751 40.709,-73.99702 40.7091405,-73.99594","uxmwFn_tbMgAwBi@eBc@sB[qC[wE","BBBBBB","NYC_DOT_LIC","4616342","Manhattan","BKN Bridge Manhattan Side - FDR N Catherine Slip"
"450","0","0","-101","2025-12-09T13:48:03.000","4616346","40.8500304,-73.944831 40.8492,-73.945241 40.84835,-73.945271 40.84443,-73.945051 40.84353,-73.94511 40.84261,-73.945271 40.8412805,-73.94574 40.8401804,-73.946311 40.839541,-73.94677 40.83856,-73.947611 40.8376105,-73.94856 40.8373205,-73.94883 40.83661,-","uoixFdjibMdDpAhDDnWk@rDJvD^hG\\|AzEpB~BzAbEfD\\|D\\|Dx@t@lClAbCh@bIzAzAb@jNrCpGvBjDrBjQvOlL\\|JpJxGvHlGnHtFlJfJhH~Gb@^r@b@hLhGfGjEtOvInUpOpSdNjIxEtAr@rRfGvCxAVNlCnC~EzFnCzCrBrBpEdDtIdFhEhBvCdA\\|ErAdHzB~A~@hDvBlBpAfC`BfC~A`EjCf@^dGjFpBzA~CtBhD`C`J~FdJ\\|FfIlFtCjBnBjA","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616346","Manhattan","Westside Hwy S GWB - 57th St"
"208","44.73","243","0","2025-12-09T13:48:03.000","4616350","40.74877,-73.73895  40.74799,-73.73784  40.74717,-73.73689  40.74625,-73.73597  40.74547,-73.7350  40.74466,-73.734  40.744,-73.73302  40.74372,-73.73251  40.74184,-73.72849  40.7406,-73.72642  40.7396,-73.72512  40.73889,-73.724471  40.7380804,-73.723981","yvuwFlcaaMzC}EbD}DvDwDzC{D`DmEbCcEv@eBvJcXvF}KfEcGlCaC`DaBzHyBj@YbE{@bDO\\|D?vCP\\|QtBnl@bIzIrB~D~AtCjBrHtGrAz@pCrAbCp@vAR~DF","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616350","Queens","CIP S LIE - Hempstead Tpk"
"199","47.84","228","0","2025-12-09T13:48:03.000","4616351","40.71167,-73.72839 40.71309,-73.72892 40.71362,-73.72902 40.71486,-73.7291 40.71577,-73.72891 40.71674,-73.72849 40.71735,-73.72803 40.71918,-73.72643 40.72008,-73.72586 40.72073,-73.72557 40.72246,-73.72499 40.72322,-73.7248 40.73177,-73.72294 40.73334,-","}nnwFla_aM{GhBiBRwFNuDe@aEsAyB{AmJ_IsDqBaCy@yIsBwCe@mt@sJyHu@kCIwDP{CZwB`@gJrCaDnBgGfG}ClFsD~HyGnQeHlNmC~DyDxE{HvIwBxCmCvEqDjHmBtCyCdDsC`CgRpNyIrHwD~DcB`C","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616351","Queens","CIP N Hempstead Tpk - LIE"
"325","0","0","-101","2025-12-09T13:48:02.000","4329472","40.75829,-73.997531 40.7605,-74.0032 40.7620605,-74.007021 40.7662905,-74.01706","irwwFpssbMyLlb@wHzVmYv}@","BBBB","PA -Lincoln Tunnel","4329472","Manhattan","LINCOLN TUNNEL E SOUTH TUBE - NJ - NY"
"324","0","0","-101","2025-12-09T13:48:02.000","4329473","40.7578106,-73.996801 40.7604506,-74.003221 40.762021,-74.00705 40.76621,-74.01712","iowwF~nsbMoObg@yH\\|VeY\\|}@","BBBB","PA -Lincoln Tunnel","4329473","Manhattan","LINCOLN TUNNEL E CENTER TUBE NJ - NY"
"330","35.41","140","0","2025-12-09T13:48:02.000","4329507","40.75719,-73.99724 40.76017,-74.00382 40.76185,-74.00725 40.76608,-74.01726","mkwwFvqsbMsQbh@oIlTmYp}@","BBBB","PA -Lincoln Tunnel","4329507","Manhattan","LINCOLN TUNNEL W NORTH TUBE NY - NJ"
"329","0","0","-101","2025-12-09T13:48:02.000","4329508","40.75766,-73.99687 40.7604,-74.00328 40.76197,-74.0071 40.76615,-74.01717","knwwFlosbMcP`g@yHzVcY\\|}@","BBBB","PA -Lincoln Tunnel","4329508","Manhattan","LINCOLN TUNNEL W CENTER TUBE NY - NJ"
"265","27.96","238","0","2025-12-09T13:48:02.000","4620298","40.8462505,-73.932161 40.846951,-73.933641 40.8484204,-73.937041 40.8490306,-73.93994 40.8493804,-73.94181 40.8499005,-73.944651 40.8509,-73.950381 40.85139,-73.95283 40.85186,-73.95525 40.852771,-73.95957 40.85302,-73.96052 40.8531905,-73.96133 40.853280","axhxF~zfbMkCfHeHfTyBbQeAtJgBvPgExb@aBhN}AbNuD~Yq@\\|Da@`DQpCY\\|F","BBBBBBBBBBBBBB","PA-GWBridge","4620298","Manhattan","GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE"
